Gupy - 7444815,Profissional de Desenvolvimento Fullstack Pleno (Python e Vue),Radix Engenharia e Software,Remoto,https://radixeng.gupy.io/job/eyJqb2JJZCI6NzQ0NDgxNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7455387,[Squad] Desenvolvedor(a)  SR | Python ,Objective (Brazil),Remoto,https://objective.gupy.io/job/eyJqb2JJZCI6NzQ1NTM4Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7421759,"Professor I Auxiliar - PROGRAMAÇÃO ORIENTADA A OBJETOS EM JAVA , APLIC. DE CLOUD, IOT E INDÚSTRIA 4.0 EM PYTHON",Estácio,São Bernardo do Campo - São Paulo,https://vempraestacio.gupy.io/job/eyJqb2JJZCI6NzQyMTc1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7410224,Desenvolvedor Python Full Stack PL,Bnex,São Paulo - São Paulo,https://bnex.gupy.io/job/eyJqb2JJZCI6NzQxMDIyNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7415473,Desenvolvedor Python Full Stack SR,Bnex,São Paulo - São Paulo,https://bnex.gupy.io/job/eyJqb2JJZCI6NzQxNTQ3Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7439180,Pessoa Desenvolvedora de Dados Python Pleno/Sênior ,Datum TI,Remoto,https://datum.gupy.io/job/eyJqb2JJZCI6NzQzOTE4MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7439422,Dev Python Pl - Híbrido em Porto Alegre | RS,DB,Porto Alegre - Rio Grande do Sul,https://db.gupy.io/job/eyJqb2JJZCI6NzQzOTQyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7430569,Analista de Dados Pleno (Python Developer - Remoto),Looqbox,Remoto,https://looqbox.gupy.io/job/eyJqb2JJZCI6NzQzMDU2OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7151693,Analista de Sistemas PL - Desenvolvedor Python,Jamef Transportes,São Paulo - São Paulo,https://jamef.gupy.io/job/eyJqb2JJZCI6NzE1MTY5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7429392,Pessoa Desenvolvedora Full Stack Júnior (Python/JavaScript) ,Carreiras SoftExpert,Joinville - Santa Catarina,https://softexpert.gupy.io/job/eyJqb2JJZCI6NzQyOTM5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7408881,Banco de Talentos Desenvolvedor (a)  Vue.JS - Javascript -Typescript,Aliare,Remoto,https://aliare.gupy.io/job/eyJqb2JJZCI6NzQwODg4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
Gupy - 7363013,"Pessoa Desenvolvedora Back-end. (Node.js, TypeScript ,JavaScript) ",Mutant,Remoto,https://mutantbrvagas.gupy.io/job/eyJqb2JJZCI6NzM2MzAxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal
